id,name,sacks,interceptions,fumbles,tds,outlook
11,Buccaneers D/ST,40,13,12,2,"All eyes are on Tom Brady and the Tampa Bay offense this offseason, but don't overlook a defense that is trending in the right direction. The upward trajectory began last season, with Tampa Bay scoring 15 more fantasy points than the next-closest D/ST from Week 12 on. In total, the Buccaneers ended up third in forced fumbles, seventh in sacks, first in passes defensed and second in D/ST touchdowns. Tampa Bay re-signed Ndamukong Suh, Shaquil Barrett and Jason Pierre-Paul during the offseason, which means 11 of team's top 12 snap-getters on defense are on the 2020 roster. The defense is also loaded with recent early-round picks who could make a leap, including Antoine Winfield Jr., Devin White, Vita Vea, Carlton Davis, Sean Murphy-Bunting, Jamel Dean and Mike Edwards. Add in standout LB Lavonte David and Justin Evans' return from a foot injury and you have the look of a D/ST that could take a big leap in 2020."
12,Jets D/ST,37,13,9,2,"The Jets' D/ST hasn't been a dominant fantasy force since the Rex Ryan era, but the unit took a step forward with a seventh-place finish in 2019. New York allowed the seventh-fewest yards, paced the league with 117 tackles for loss and scored six D/ST touchdowns. Holes remain at cornerback and edge rusher, but there's something to be said for continuity as 15 of the team's top 16 defenders in snaps played last season remain on the roster. Jamal Adams, second-year Quinnen Williams and now-healthy C.J. Mosley set this unit up with plenty of potential star power. Consider the Jets' D/ST a back-end starting option."
13,Chargers D/ST,36,11,7,3,"The Chargers fell well short of lofty expectations in 2019, and that also applies to the team's D/ST. The unit fell to 21st in fantasy points following three consecutive top-12 campaigns. Los Angeles still showed well in terms of yards (sixth) and points (12th) allowed, but forced a league-low 14 turnovers and managed only 30 sacks (28th). Thomas Davis and Adrian Phillips were the team's only significant offseason losses, with the overall defense upgraded following the addition of Linval Joseph, Chris Harris Jr. and first-round-pick Kenneth Murray to a group that also includes Joey Bosa, Melvin Ingram, Derwin James, Casey Hayward and Desmond King (who has returned one punt for a touchdown each of the past two seasons). This is a fringe starting D/ST."
14,Cowboys D/ST,41,13,9,3,"The Dallas D/ST has been a mid-pack fantasy unit each of the past five seasons, but some savvy offseason moves have the Cowboys pointed in the right direction for 2020. Byron Jones, Robert Quinn, Maliek Collins and Jeff Heath are out, but Gerald McCoy, Dontari Poe, Ha Ha Clinton-Dix and perhaps Randy Gregory and Aldon Smith are in, not to mention a return to full health for Tyrone Crawford and Leighton Vander Esch. Dallas has finished no worse than 11th in points or yardage allowed each of the past three seasons, but hasn't finished better than 24th in sacks since 2014. This is a solid unit and borderline top-10 fantasy D/ST."
15,Bengals D/ST,38,12,9,3,"It's not uncommon for a D/ST to jump from the basement of the league to fantasy relevance in one season, and the Bengals are a strong candidate to do exactly that in 2020. A bottom-four D/ST each of the past two seasons, Cincinnati overhauled its defense with D.J. Reader, Trae Waynes, Mackensie Alexander, Von Bell and Josh Bynes during free agency. They join a solid core led by Geno Atkins, Carlos Dunlap and William Jackson. The improvements were a must for a defense that hasn't ranked in the upper half of the league in forced turnovers, forced fumbles or yardage allowed since 2015. Consider drafting the Bengals' D/ST late in deeper leagues."
16,Lions D/ST,39,12,10,3,No outlook available.
17,Browns D/ST,40,13,9,2,"The Cleveland defense appeared ready for a big step forward in 2019, but underwhelming production in most categories instead left its D/ST without a top-20 fantasy performance for the fifth consecutive season. Cleveland finished 2019 among the top eight teams in interceptions for the second straight season, but came in 20th or worse in sacks for the sixth year in a row. The Browns' defense is in decent shape for 2020, with Myles Garrett, Sheldon Richardson, Olivier Vernon and Denzel Ward offering star power and additions Andrew Billings, Adrian Clayborn, Karl Joseph and Grant Delpit helping to offset a few losses. The Browns' D/ST is a midrange fantasy option."
18,Chiefs D/ST,42,12,9,3,"The Kansas City defense took a big leap forward under Steve Spagnuolo last season and it resulted in an 11th-place fantasy finish for the team's D/ST. The Chiefs haven't finished worse than ninth in interceptions since 2014 or worse than 10th in D/ST touchdowns since 2012. They haven't finished in the upper half of the league in yardage allowed since 2015, but did jump to eighth in points allowed in 2019. Kansas City's defense definitely doesn't pop on paper, but a solid 2019 unit will return its top 11 snap-getters this season. That group includes one of the league's elite players in Chris Jones, as well as stars Tyrann Mathieu and Frank Clark. Led by Tyreek Hill and Mecole Hardman, the Chiefs have at least one kick or punt return touchdown each of the past four seasons. This is a fringe starting-caliber D/ST option."
19,Rams D/ST,40,13,9,3,"The Rams' D/ST finished as fantasy's No. 9 scoring unit last season, which marks its third consecutive top 10 and seventh finish of 12th or better over the past eight seasons. The Rams finished eighth or better in forced turnovers and D/ST touchdowns for the third straight season. Los Angeles' 11 top-10 fantasy weeks last season led the league. Seven of those came in 10 games after Jalen Ramsey joined the team. Despite the strong finish, there's reason for some concern here. Ramsey is back (as are Aaron Donald and John Johnson), but three of the defense's top four snap-getters from 2019 (Cory Littleton, Dante Fowler and Eric Weddle) are among the departed, leaving the team with shaky situations at edge rusher, linebacker and corner. The Rams' D/ST is best left on waivers in most formats."
20,Titans D/ST,37,13,6,2,"The Titans' D/ST finished a respectable 12th in fantasy points last season and has now produced back-to-back top-12 campaigns. The Titans jumped to eighth in interceptions and scored four touchdowns, while ranking in the upper half of the league in sacks for the sixth consecutive season. On the other hand, they fell to 21st in yardage allowed and 13th in point allowed. Jurrell Casey and Logan Ryan were huge offseason losses, but a strong core led by Adoree' Jackson, Kevin Byard, Jayon Brown and Harold Landry remains in place. The Titans' D/ST is best-valued as a middle-of-the-pack option."
21,Eagles D/ST,40,14,10,2,No outlook available.
22,Dolphins D/ST,37,12,9,3,No outlook available.
23,Seahawks D/ST,39,13,8,3,"The Seahawks' D/ST has been trending down in recent seasons, and the unit's 17th-place 2019 campaign marked its worst finish since 2010. Seattle ranked third in the league with 32 forced turnovers last season, but allowed the seventh-most yards, 19th-most points and finished 29th in sacks. Jadeveon Clowney, Quinton Jefferson and Mychal Kendricks lead the team's list of key offseason losses, though the additions of first-round-pick Jordyn Brooks, Quinton Dunbar and Bruce Irvin to a core that includes Bobby Wagner, K.J. Wright, Shaquill Griffin and Jarran Reed removes some of the sting. This has the look of a midrange fantasy D/ST."
24,Packers D/ST,41,12,8,2,No outlook available.
25,Texans D/ST,37,12,10,2,No outlook available.
26,Cardinals D/ST,41,12,10,2,No outlook available.
27,Raiders D/ST,37,13,8,2,No outlook available.
28,Jaguars D/ST,39,13,10,3,No outlook available.
29,Falcons D/ST,35,11,9,3,No outlook available.
30,Washington D/ST,37,12,8,3,No outlook available.
31,Giants D/ST,36,12,7,2,No outlook available.
32,Panthers D/ST,35,11,8,3,No outlook available.
