id,name,team,position,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,outlook
16,David Johnson,Texans,RB,230.0,932.0,6.0,39.0,374.0,3.0,"Johnson was one of the league's best backs during his first two seasons, but struggles with injuries and efficiency led to a benching last season and was followed by an offseason trade to Houston. The 28-year-old is well-positioned for a rebound campaign with passing-down specialist Duke Johnson as his only competition for touches. The question is: Is he up for it? Johnson averaged an ugly 3.6 YPC and 1.4 YAC during the past three seasons. He remains an effective receiver but figures to focus primarily on rushing the ball with Duke Johnson in the picture. Johnson can't be counted on as an elite fantasy asset, but he has a path to enough volume to allow midrange RB2 production."
17,Leonard Fournette,Jaguars,RB,214.0,880.0,5.0,55.0,403.0,1.0,"Fournette finally lived up to his first-round pedigree during a breakout 2019 season and locked himself in as one of the league's rare workhorse running backs. During 15 active weeks, Fournette played 88% of the snaps, handling 87% of the carries and 19% of the targets. Fournette finished no lower than seventh among backs in carries, targets, receptions, touches, yards and fantasy points. Fournette's season would've been even more impressive had it not been for some atrocious touchdown luck. Despite a healthy 9.3 OTD (10th highest), Fournette scored three touchdowns. Expect another huge workload, coupled with regression to the mean in the scoring department, to lead to another borderline RB1 campaign for the 25-year-old contract-year back."
18,Le'Veon Bell,Jets,RB,215.0,854.0,4.0,55.0,404.0,2.0,"Despite a healthy dose of turmoil during the 2019 season, Bell is back as the Jets' feature back. Bell's first season in New York saw him rank no lower than 11th among backs in carries, targets, receptions and receiving yards. However, Bell ended up just 16th among backs in fantasy points, due to a low touchdown total (four) and horrific efficiency (3.2 YPC, 5.9 YPT). Bell's heavy volume allowed him a high floor (double-digit points all but one week), but he no longer has an elite ceiling (one weekly finish better than ninth). Bell is now 28 years old and hasn't appeared in 16 regular-season games since 2014. He's no longer an RB1, though an improved Jets offensive line helps his 2020 prospects."
19,Melvin Gordon,Broncos,RB,180.0,722.0,6.0,46.0,361.0,2.0,"Gordon signed on as the Broncos' new lead back, following five seasons with the Chargers. Gordon is fresh off a season when he held out for a month before posting 162-612-8 rushing and 42-296-1 receiving lines. That was enough for the 12th-most fantasy points during that span. Gordon entered 2019 having finished the previous three seasons no lower than ninth in scrimmage yards, sixth in touchdowns and eighth in fantasy points among backs. In Denver's run-heavy offense, Gordon figures to share a chunk of the carries with Phillip Lindsay, but his bigger frame should garner him more goal-line work, and he's also the superior receiver. Gordon is a mid-to-back end RB2."
20,Clyde Edwards-Helaire,Chiefs,RB,171.0,749.0,6.0,39.0,330.0,3.0,"Edwards-Helaire is in running back paradise after Andy Reid and the Chiefs selected him with the 32nd pick of April's draft. The LSU product isn't particularly fast (4.60 40-yard dash) and is on the small side at 5-foot-7, 207 pounds, but he sports elite elusiveness and tackle-breaking ability. Edwards-Helaire also paced this year's rookie class in targets (65), receptions (55) and receiving yards (453) last season. He has three-down upside, though it's possible his frame could cost him goal-line touches. Edwards-Helaire's short-term production might be limited by the presence of Damien Williams, but it's only a matter of time until he's the feature back in the Chiefs' high-scoring, Patrick Mahomes-led offense. He's a borderline top-20 fantasy back in 2020."
21,Kareem Hunt,Browns,RB,86.0,387.0,3.0,56.0,495.0,3.0,"Hunt returns to Cleveland, where he'll operate as a change-of-pace rusher and primary receiving back behind Nick Chubb. Hunt was, of course, one of fantasy's top backs prior to off-field issues leading to roughly one year out of the league. He returned in Week 10 last season and played a substantial role from that point on. Hunt was on the field for 60% of the snaps, handling 5.4 carries and 5.5 targets per game. Hunt was fantasy's No. 17 RB during the stretch and trailed Chubb by only three fantasy points during that span. Chubb will continue to handle most of the carries and goal-line work, but Hunt's role allows him standalone value, not to mention that he's arguably the most valuable handcuff in fantasy."
22,James Conner,Steelers,RB,170.0,721.0,6.0,37.0,285.0,1.0,"Conner returns as the lead back in Pittsburgh, but durability has become a significant concern for a player who has missed at least two games in each of his three NFL seasons. Despite missing three games in 2018, Conner broke out with 1,462 yards and 13 TDs on 269 touches en route to finishing sixth among running backs in fantasy points. He sat ninth at the position through Week 8 last season, but injuries limited him to 54 snaps the rest of the season. A return to full health by Conner and Ben Roethlisberger very well could lead to a bounce-back campaign for the 25-year-old, though he'll need to fend off Benny Snell Jr., Jaylen Samuels and rookie Anthony McFarland Jr. for touches. Consider Conner a flex option."
23,D'Andre Swift,Lions,RB,184.0,769.0,5.0,35.0,283.0,1.0,"The Lions selected Swift with the 35th pick of April's draft. Swift was terrific in Georgia's pro-style offense, producing as both a rusher (440 carries) and receiver (73 receptions) during his three seasons. His efficiency was more solid than spectacular, and he lacks some explosiveness, but he makes up for it with reliability, decent speed (4.48 40-yard dash), quickness and pass-catching prowess. Swift has three-down upside but will begin his career competing for reps with Kerryon Johnson, who figures to focus primarily on ball-carrying, with Swift busier in passing situations. That's likely to limit Swift's fantasy output, but he certainly could flirt with RB2 numbers and is worth a midround pick."
24,Devin Singletary,Bills,RB,176.0,798.0,3.0,41.0,320.0,1.0,"An injury may have limited Singletary's early-season contributions during his rookie campaign, but the 2019 third-round pick quickly overtook Frank Gore upon his return. During Weeks 8-16, Singletary handled a generous 14.9 carries and 4.0 targets per game. He was held to three touchdowns but was ninth among RBs in scrimmage yards, while playing 74% of the snaps during that span. Though he struggled after contact, Singletary's 5.1 YPC was sixth best among backs. Singletary is expected to work as the lead back again this season, but his 5-foot-7, 203-pound frame will limit his volume. Expect rookie Zack Moss to be heavily involved, along with Josh Allen, at the goal line. Singletary may struggle to clear a half-dozen touchdowns but will get enough work to flirt with top-20 production."
25,Jonathan Taylor,Colts,RB,198.0,852.0,7.0,24.0,204.0,1.0,"The Colts surprisingly nabbed Taylor with the 41st pick of April's draft. An outstanding prospect purely from a rushing standpoint, the Wisconsin product paced this year's rookie class in carries, rushing yards and rushing touchdowns and ranked fourth with a 3.7 YAC in 2019. Taylor also crushed it at February's combine, running a position-best 4.39 40 and a solid 7.01 three cone despite a hefty 5-foot-10, 226-pound frame. The main concerns here are fumbles (18) and pass-catching ability (nine drops on 68 targets). Taylor has RB1 upside down the road, but his short-term fantasy value will suffer with incumbent early-down back Marlon Mack and passing-down specialist Nyheim Hines in the fold. Taylor is worth grabbing in the middle rounds, but it might take some time before he's a reliable fantasy starter."
26,Tarik Cohen,Bears,RB,69.0,292.0,1.0,72.0,511.0,2.0,"Cohen returns as Chicago's change-of-pace and extremely-busy receiving back. Believe it or not, Cohen ranks fourth among backs in both targets (261) and receptions (203) since entering the NFL in 2017. Cohen's 190-pound frame has limited him to no more than 99 carries in a single season and a grand total of four carries inside the 5-yard line. However, 70-plus catches each of the past two seasons has helped him to fantasy finishes of 11th in 2018 and 27th in 2019. Cohen's efficiency was extremely poor last season (3.3 YPC, 4.4 YPT), and he'll remain limited as a rusher and at the goal line, but his role isn't expected to change in 2020, which locks him into the PPR flex discussion."
27,David Montgomery,Bears,RB,213.0,853.0,6.0,26.0,217.0,1.0,"Montgomery's rookie season didn't go as planned, but the 2019 third-round pick remains atop the Chicago depth chart. The Iowa State product wasn't short on volume in his first season, ranking 12th among backs in touches and sixth in carries inside the 5 (14). The problem was a combination of poor rushing efficiency (3.7 YPC, 1.6 YAC) and a lack of volume and effectiveness as a pass-catcher (185 yards on 37 targets). The end result was two top-15 fantasy weeks and a 24th-place finish by season's end. Montgomery will continue to defer passing-down work to Tarik Cohen but is certainly a breakout candidate in his second season. Montgomery is a flex option with RB2 upside."
28,Mark Ingram II,Ravens,RB,159.0,737.0,7.0,23.0,184.0,1.0,"Volume is king in fantasy football, but Ingram did his best to be the exception to that rule during his first season as Baltimore's lead back. Despite handling only 37% of the team's carries and 7% of the targets, Ingram was fantasy's No. 11 scoring RB, thanks to the Ravens' high-scoring offense. Ingram ranked 22nd in touches and 15th in scrimmage yards, but his 15 touchdowns ranked fourth. An injury-plagued 2018 season aside, Ingram has been a top-15 fantasy RB each season since 2014. Despite the positivity, it will be hard to count on a repeat from Ingram in 2020. He's now 30, which means his volume is unlikely to rise (especially with J.K. Dobbins now in the mix), he plays a minimal role as a receiver and the Baltimore offense figures to regress in scoring. Ingram is a fringe RB2 with a low ceiling."
29,Ke'Shawn Vaughn,Buccaneers,RB,158.0,663.0,5.0,32.0,245.0,1.0,"The Buccaneers selected Vaughn with a third-round pick in April's draft. The Vanderbilt product's FBS efficiency was impressive, as he posted the third-best YAC/forced missed tackle profile in 2019 for this year's rookie class. Vaughn is more fast (4.51 40-yard dash) than quick and is a tough 5-foot-10, 214 pounds. He has the size and ability to quickly contribute as a rusher, as a receiver and at the goal line. He'll compete with Ronald Jones for carries and Dare Ogunbowale for targets right away in the new-look Buccaneers' offense. Vaughn's most likely role is as a committee back in 2020, but he has a clear path to lead back duties if he overtakes Jones. Vaughn will be well worth a mid-to-late-round draft pick."
30,Kerryon Johnson,Lions,RB,172.0,694.0,6.0,26.0,215.0,1.0,"Johnson enters his third NFL season no longer a clear feature back after Detroit drafted D'Andre Swift in the second round. Johnson impressed as a second-round rookie in 2018, averaging 5.4 YPC and catching 84% of his targets, but missed six games. During another injury-plagued campaign in 2019, his receiving workload and rushing efficiency took a hard hit (3.6 YPC) in eight games as Detroit's primary rusher, though he was providing RB2 production prior to a Week 7 injury. Johnson is only 23 years old, but the presence of the more-dynamic Swift is sure to limit his touches. Consider Johnson a flex with limited upside."
31,Ronald Jones II,Buccaneers,RB,174.0,721.0,5.0,28.0,216.0,1.0,"Following what was a disastrous rookie season in 2018, Jones added weight and got his career back on track with an impressive showing in 2019. After totaling 77 yards on 30 touches in 2018, Jones produced 1,003 yards and six touchdowns on 203 touches last season. Despite his second-round pedigree and superior play relative to his counterparts in the Tampa Bay backfield, Jones was limited to only 37% of the snaps and 47% of the designed runs. It's very possible we've yet to see the best of Jones, as he was drafted very young and is entering his age-23 season. In fact, he's three months younger than his new competition for targets, third-round pick Ke'Shawn Vaughn. Jones is a fine flex target with more value in non-PPR leagues."
32,Jordan Howard,Dolphins,RB,174.0,747.0,6.0,25.0,187.0,1.0,"Howard signed with the Dolphins following four seasons with Chicago and Philadelphia. The 2016 fifth-round pick has racked up 3,895 rushing yards in his four pro seasons, which trails only the totals of Ezekiel Elliott and Todd Gurley for most during that span. Howard is obviously a very effective rusher but has struggled as a receiver, averaging an ugly 5.4 yards per play on 119 career targets. A top-20 fantasy back during his first three seasons, Howard might struggle to get back to that territory as he operates as an early-down and goal-line complement to Matt Breida in Miami. The 25-year-old hammer is a borderline flex option in non-PPR leagues."
33,Derrius Guice,FA,RB,142.0,604.0,5.0,34.0,278.0,1.0,"Guice is entering his third NFL season but has only five games of experience due to multiple knee injuries. The 2018 second-round pick missed his entire rookie season with a torn ACL prior to showing fairly well with 324 yards and a pair of scores on 49 touches last season (5.8 YPC, 7.9 YPT). A healthy Guice figures to get the first shot at leading the Washington backfield, but Adrian Peterson, Antonio Gibson, Peyton Barber, J.D. McKissic and former Stanford star Bryce Love are also on the roster. Guice is only 23 years old and has massive upside, but he's a risky investment. He's best viewed as a borderline flex."
34,Raheem Mostert,49ers,RB,159.0,741.0,7.0,18.0,159.0,1.0,"It's not often you see a running back break out in his fifth NFL campaign, but Mostert did exactly that down the stretch last season. Primarily a special-teams player throughout his career, Mostert put up 859 yards and scored 13 touchdowns on 133 touches during the 49ers' final nine games of 2019 (including the playoffs). An extremely efficient runner, Mostert is averaging 6.0 YPC on 178 regular-season carries for his career, which is easily best among 188 RBs with 150-plus carries. The concerns here are that Mostert plays a minimal pass-catching role (22 targets last season) and Kyle Shanahan is very unpredictable with his backfield rotation. As such, Mostert is best viewed as a flex with RB2 upside."
35,James White,Patriots,RB,59.0,252.0,2.0,54.0,487.0,3.0,"White has finished as a top-20 fantasy RB each of the past two seasons, but he's a bit of a wild card now that old reliable Tom Brady is out of the picture. We can't bank on carries from White (he has never cleared 94 in a single season), but he has ranked no lower than sixth among backs in targets, catches, receiving yards and touchdown receptions each of the past two seasons. White is a strong bet to remain New England's primary passing-down back, but we can't assume Cam Newton or Jarrett Stidham will target him as often, and the safe bet would be to expect less scoring and a more run-heavy approach from the Patriots' offense. White still has PPR value, but he's more of a fringe flex with a limited ceiling."
36,Phillip Lindsay,Broncos,RB,164.0,731.0,4.0,31.0,206.0,1.0,"Lindsay is back in Denver for his third NFL season, but the team's former lead back now figures to settle in as an oft-used change-of-pace runner behind newcomer Melvin Gordon. It's not often you get immediate production from an undrafted player, but Lindsay has produced a pair of 1,000-yard rushing seasons since Denver signed him after the 2018 draft. Lindsay has certainly flashed as a rusher (4.9 career YPC), but he has struggled to produce after contact (1.6 YAC) and as a receiver (4.5 YPT), which explains the team's interest in Gordon. Lindsay's reduced role means he likely won't post his third consecutive top-20 fantasy season, but the 26-year-old is on the flex radar, especially in non-PPR leagues."
37,Cam Akers,Rams,RB,170.0,708.0,7.0,22.0,180.0,1.0,"The Rams selected Akers with the 52nd pick of April's draft. The tough and elusive Akers measures in at 5-foot-10, 217 pounds with solid speed (4.47 40-yard dash) and good strength (20 bench reps). Despite lacking some big-play ability and having to do most of his damage after contact last season (5.0 YPC, 1.7 YBC), Akers posted one of the best YAC/forced missed tackle profiles in this year's rookie class. The Florida State product will open his career in a wide-open competition with second-year back Darrell Henderson and Malcolm Brown to replace Todd Gurley. He might not do much as a receiver, but if Akers is able to claim a majority of the carries and goal-line work, he could quickly join the RB2 discussion. Grab him in the middle rounds."
38,Darrell Henderson Jr.,Rams,RB,127.0,525.0,4.0,35.0,291.0,1.0,"Henderson will get a shot at earning lead-back duties in the Rams' backfield this season following the release of Todd Gurley. Henderson was initially expected to play a significant change-of-pace role behind Gurley last season but instead was limited to 39 carries and six targets on 89 snaps. The Rams selected Henderson in the third round of the 2019 draft after he averaged 8.9 YPC (seriously!) on 344 carries during his final two seasons at Memphis. Henderson has tremendous upside as a rusher, and his passing-down chops make him a candidate for weekly PPR value, but he'll be hard-pressed to separate himself from rookie Cam Akers (and perhaps Malcolm Brown) as the team's clear feature back. Nonetheless, Henderson is a second-year breakout candidate and borderline flex option."
39,Boston Scott,Eagles,RB,126.0,524.0,6.0,31.0,229.0,1.0,"With the Eagles all but out of wide receivers late last season, they turned to 2018 sixth-round pick Scott in desperation. The undersized Louisiana Tech product delivered the goods. Scott put up 245 yards and five touchdowns on 61 carries and caught 24 of 27 targets for 204 yards. Scott played a grand total of 35 career offensive snaps prior to handling 146 during the Eagles' final four regular-season games. Only six backs scored more fantasy points during that span. The Eagles' offense will be healthier, and Scott will work behind Miles Sanders, but the Darren Sproles doppelganger figures to see enough runs to flirt with PPR flex production."
40,Nyheim Hines,Colts,RB,53.0,218.0,2.0,52.0,422.0,2.0,"Marlon Mack and Jonathan Taylor are the Colts' primary ball carriers, but it's Hines who has been handling passing situations. The 2018 fourth-round pick ranked eighth among backs in routes and seventh in targets with Andrew Luck in 2018 before falling to 27th and 16th, respectively, with Jacoby Brissett last season. Hines' receiving efficiency has been a problem (career 5.3 YPT and nine drops), and his 190-pound frame hasn't allowed him much volume or efficiency as a rusher (3.7 YPC on 137 career carries) or in the scoring department (six career TDs). Perhaps Philip Rivers will inject some life into Hines' fantasy stock, but the third-year back will need to significantly improve his game. He's worth only a late flier in PPR."
41,Damien Williams,Chiefs,RB,88.0,397.0,5.0,30.0,240.0,2.0,"Williams is back in Kansas City this season, but he'll have a lot more competition this time around after the Chiefs selected Clyde Edwards-Helaire with 32nd-overall pick of April's draft. The rookie is sure to limit Williams' fantasy upside but flex value remains a possibility. Consider: Williams has played at least 49% of the snaps in 16 games since joining the team in 2018. He has handled 13.3 carries and 5.3 targets per game during those weeks, which has allowed him 278 touches for 1,534 yards and 21 TDs. His numbers add up to 340.4 fantasy points, which would've ranked second to only Christian McCaffrey last season. Williams' size edge on Edwards-Helaire could lead to primary goal-line work, and 10-12 touches per game in this elite offense is nothing to sneeze at. Consider Williams in the middle rounds."
42,Duke Johnson,Texans,RB,68.0,314.0,1.0,44.0,387.0,2.0,"After spending 2019 as a passing-down complement to Carlos Hyde, Johnson is expected to play a similar role behind newcomer David Johnson this season. Johnson has yet to convince a coaching staff that he's worthy of a three-down role, as he has managed only 76 carries per season since entering the league in 2015. Although his targets have dipped the past two seasons, Johnson has been in the upper two thirds in yards per target all five seasons, and his 4.1 OTD (expected TD total) paced the position last season. Johnson's role severely limits his ceiling, and it's possible that he will lose targets to David Johnson this season. Consider the 26-year-old a weak flex in PPR leagues."
43,Latavius Murray,Saints,RB,132.0,547.0,5.0,26.0,192.0,1.0,"Murray is now 30 years old, but he remains in a good spot as Alvin Kamara's backup in a high-scoring Saints' offense. In his first season in New Orleans, Murray was held to 98 touches and the 49th-most fantasy points among backs during the 14 weeks Kamara was also active. However, with Kamara sidelined during Weeks 7 and 8, Murray stepped in and racked up 307 yards and four touchdowns on 60 touches. He was fantasy's top-scoring RB in that span. Murray lacks stand-alone value but is obviously an elite handcuff."
44,J.K. Dobbins,Ravens,RB,134.0,593.0,4.0,25.0,206.0,1.0,"Baltimore grabbed its lead running back of the future by selecting Dobbins with a second-round pick in April's draft. Dobbins is an outstanding athlete with terrific speed, balance and playmaking ability. He sports a 5-foot-9, 209-pound frame and is a three-down option with the ability to contribute as an impact rusher and receiver. In his final season at Ohio State, Dobbins' 2,003 rushing yards and 21 touchdowns tied for tops in this year's rookie class. His 3.5 YAC was sixth. Landing in Baltimore's high-scoring offense sets up Dobbins with a massive long-term ceiling, but he's likely to be utilized as a change-of-pace back in the short term, with Mark Ingram, Gus Edwards and second-year Justice Hill also on the roster. Dobbins won't have much early-season fantasy value but will be a strong end-of-bench stash during the 2020 season."
45,Justin Jackson,Chargers,RB,135.0,572.0,4.0,27.0,201.0,1.0,"Jackson is positioned for a run at a breakout 2020 season following Melvin Gordon's departure to Denver. Jackson will compete with rookie Joshua Kelley for No. 2 duties behind Austin Ekeler, with the latter unlikely to handle a workhorse role at 5-foot-9, 195 pounds. That positions Jackson with an opportunity for roughly 10-12 touches per game and perhaps primary goal-line duties. The 2018 seventh-round pick has been effective on 79 career carries, averaging 5.1 YPC (2.2 YAC). Jackson is worth a late flier in deep leagues but can be ignored if he falls behind Kelley."
46,Marlon Mack,Colts,RB,154.0,676.0,5.0,16.0,126.0,1.0,"Mack is back with the Colts after ranking top-10 in carries, rushing yards and rushing TDs last season. However, he can be considered a lock for a reduced role after the team drafted Jonathan Taylor in the second round. That's a problem for a player who, despite reaching 900 rushing yards and eight touchdowns each of the past two seasons, has still yet to post a top-20 fantasy campaign. There are two primary culprits: injuries (he has missed at least two games in each of his three NFL seasons) and a minimal workload as a receiver (31 total catches during the past two seasons). Mack may catch a few extra passes with Philip Rivers in town, but Taylor and Nyheim Hines will be major factors. Mack benefits from the Colts' elite offensive line but may struggle for flex value in his new situation."
